Sample no.,Site,Layer,Easting,Northing,Mass,Thickness,Density,MassArea,"[-5,-4)","[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)"
1-27-12 M,12,M,520892,1381127,1401,0.15,1114.56,167.18,0,0,0.001440092,0.047235023,0.333237327,0.478686636,0.09936636,0.018145162,0.021889401
1-27-13 M,13,M,521902,1382109,1493,0.06,1187.75,71.26,0,0,0.00246238,0.049247606,0.331600547,0.486183311,0.091655267,0.016415869,0.022435021
1-27-14 M,14,M,522118,1379921,1316,0.15,1046.94,157.04,0,0,0.009287926,0.10301154,0.470588235,0.378271883,0.030959753,0.005910498,0.001970166
1-27-15A,15,A,523973,1380489,1376,0.08,1094.67,87.57,0,0.001085187,0.054801953,0.32881172,0.482908302,0.109875203,0.016820402,0.003798155,0.001899078
1-27-15B,15,B,523973,1380489,1179,0.18,937.95,168.83,0,0.003740315,0.043547956,0.272775848,0.532460593,0.145070799,0.002137323,0.000267165,0
1-27-16B,16,B,525162,1380976,1286,0.25,1023.07,255.77,0,0.014544457,0.106201975,0.34467618,0.409714599,0.10949506,0.011525796,0.002744237,0.001097695
1-27-17A,17,A,525544,1381476,1174,0.13,933.97,121.42,0,0.025052823,0.185632358,0.427709025,0.240567461,0.090854211,0.024147298,0.004527618,0.001509206
1-27-17B,17,B,525544,1381476,1472,0.11,1171.04,128.81,0,0.003286771,0.056422898,0.252259655,0.428375788,0.219665845,0.028485347,0.004108463,0.007395234
1-27-18 M,18,M,525760,1382320,1479,0.13,1176.61,152.96,0,0.001606426,0.029451138,0.164926372,0.404283802,0.307362785,0.067737617,0.008299866,0.016331995
1-27-19 M,19,M,524400,1382378,1508,0.23,1199.68,275.93,0,0.002190581,0.033953997,0.147316539,0.414567361,0.295180722,0.069824753,0.022727273,0.014238773
1-27-20 M,20,M,523387,1382182,1733,0.14,1378.68,193.02,0,0.002435724,0.01623816,0.091745602,0.243843031,0.315832205,0.187550745,0.06278755,0.079566982
1-27-21 M,21,M,522453,1381550,1688,0.11,1342.88,147.72,0,0,0.003133978,0.039958214,0.197440585,0.302167668,0.205797858,0.098197962,0.153303735
