Sample no.,Site,Layer,Easting,Northing,Mass,Thickness,Density,MassArea,"[-4.5,-4)","[-4,-3.5)","[-3.5,-3)","[-3,-2.5)","[-2.5,-2)","[-2,-1.5)","[-1.5,-1)","[-1,-0.5)","[-0.5,0)","[0,0.5)","[0.5,1)","[1,1.5)","[1.5,2)","[2,2.5)","[2.5,3)","[3,3.5)"
1-27-17B,17,B,525544,1381476,1472,0.11,1171.04,128.81,0,0,0.003286771,0.019446727,0.036976171,0.093946864,0.158312791,0.236647494,0.191728294,0.153382635,0.06628321,0.022185703,0.006299644,0.002465078,0.001643385,0.007395234
1-27-18 M,18,M,525760,1382320,1479,0.13,1176.61,152.96,0,0,0.001606426,0.008032129,0.021419009,0.056492637,0.108433735,0.191700134,0.212583668,0.195983936,0.111378849,0.051941098,0.015796519,0.004819277,0.003480589,0.016331995
1-27-19 M,19,M,524400,1382378,1508,0.23,1199.68,275.93,0,0,0.002190581,0.010405257,0.02354874,0.048466594,0.098849945,0.190580504,0.223986857,0.193318729,0.101861993,0.046823658,0.023001095,0.015607886,0.007119387,0.014238773
1-27-20 M,20,M,523387,1382182,1733,0.14,1378.68,193.02,0,0,0.002435724,0.00541272,0.01082544,0.035453315,0.056292287,0.107171854,0.136671177,0.179431664,0.136400541,0.116102842,0.071447903,0.029228687,0.033558863,0.079566982
1-27-21 M,21,M,522453,1381550,1688,0.11,1342.88,147.72,0,0,0,0,0.003133978,0.008879603,0.031078611,0.076521285,0.1209193,0.15957169,0.142595978,0.118046487,0.087751371,0.057978584,0.040219378,0.153303735
1-27-22 M,22,M,521894,1380712,1651,0.13,1313.44,170.75,0,0,0,0.001918772,0.006395907,0.025263831,0.060761113,0.01439079,0.192836585,0.219699392,0.143907899,0.097217781,0.071953949,0.042532779,0.028141989,0.094979213
1-28-23B,23,B,529889,1379931,1478,0.21,1175.82,246.92,0,0,0,0,0.001100413,0.00605227,0.02090784,0.052819807,0.143603851,0.258872077,0.25997249,0.147455296,0.066299862,0.024484182,0.007152682,0.01127923
1-28-23C,23,C,529889,1379931,1645,0,1308.67,0,0.019704433,0,0.012315271,0.010673235,0.016694034,0.033661741,0.067323481,0.15380405,0.22194855,0.201149425,0.113300493,0.044608648,0.018609743,0.009031199,0.008757526,0.068418172
1-28-24 M,24,M,529139,1380417,1291,0.81,1027.05,831.91,0,0.006575342,0.037534247,0.06630137,0.095342466,0.153150685,0.169863014,0.198082192,0.151780822,0.088219178,0.02630137,0.005205479,0.001369863,0.000273973,0,0
1-28-25 M,25,M,528622,1380874,1501,1.2,1194.11,1432.94,0.008097166,0.010796221,0.019973009,0.037786775,0.07854251,0.145748988,0.183535762,0.211875843,0.161673414,0.095816464,0.035897436,0.00782726,0.002159244,0.000269906,0,0
1-28-26 M,26,M,527524,1380945,1306,0.71,1038.98,737.68,0.012830794,0.011494253,0.041432772,0.057738573,0.069767442,0.146484897,0.190590751,0.215717723,0.141138733,0.080192462,0.023523122,0.006682705,0.002138466,0.000267308,0,0
1-28-27A,27,A,526823,1381601,1172,0.16,932.38,149.18,0.045182525,0.023040096,0.072710952,0.128067026,0.15380012,0.179832436,0.155595452,0.126570916,0.064033513,0.030221424,0.012268103,0.005086774,0.002692998,0.000897666,0,0
1-28-27B,27,B,526823,1381601,1533,0.2,1219.57,243.91,0,0,0.001429388,0.006575186,0.022012579,0.040308748,0.078616352,0.148942253,0.22327044,0.2135506,0.170097198,0.060891938,0.017724414,0.005717553,0.004002287,0.006861063
1-28-28A,28,A,526524,1381709,1281,0.11,1019.09,112.1,0.037462401,0.015586546,0.048947225,0.090784796,0.124418923,0.216024063,0.214656823,0.147115122,0.064533771,0.01804758,0.007383101,0.008476894,0.004648619,0.001640689,0.000273448,0
